,no_queries,time,columns
0,1000,1.542968988418579,30
1,1000,1.4589998722076416,30
2,1000,1.5540246963500977,30
3,1000,1.4750370979309082,30
4,1000,1.554999828338623,30
5,1902,1.6850249767303467,30
6,1902,1.6990423202514648,30
7,1902,1.67799973487854,30
8,1902,1.6180493831634521,30
9,1902,1.7209999561309814,30
10,2804,1.758000135421753,30
11,2804,1.7810008525848389,30
12,2804,1.6890432834625244,30
13,2804,1.8276143074035645,30
14,2804,1.891024112701416,30
15,3706,1.9060516357421875,30
16,3706,1.8010201454162598,30
17,3706,1.9150524139404297,30
18,3706,1.6670191287994385,30
19,3706,1.6635551452636719,30
20,4608,1.9410452842712402,30
21,4608,1.7240219116210938,30
22,4608,1.8520491123199463,30
23,4608,1.706026554107666,30
24,4608,1.7910003662109375,30
25,5510,1.7540435791015625,30
26,5510,1.7640202045440674,30
27,5510,1.9950239658355713,30
28,5510,2.043046236038208,30
29,5510,1.9250524044036865,30
30,6412,2.5800867080688477,30
31,6412,2.270596981048584,30
32,6412,1.9610950946807861,30
33,6412,1.8965106010437012,30
34,6412,1.8380513191223145,30
35,7314,1.9050493240356445,30
36,7314,1.9230234622955322,30
37,7314,2.09751296043396,30
38,7314,2.0460686683654785,30
39,7314,1.9660494327545166,30
40,8216,2.144063711166382,30
41,8216,1.978043556213379,30
42,8216,1.9725580215454102,30
43,8216,2.0500452518463135,30
44,8216,2.128042221069336,30
45,9118,2.0200483798980713,30
46,9118,2.032047986984253,30
47,9118,2.467047691345215,30
48,9118,2.2550222873687744,30
49,9118,2.1400225162506104,30
